Age,Attrition,Department,DistanceFromHome,Education,EmployeeCount,EnvironmentSatisfaction,Gender,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MonthlyIncome,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
30,No,Research & Development,1,2,1,3,Female,3,2,Laboratory Technician,4,4011,No,23,4,4,12,2,3,12,8,3,7
41,Yes,Research & Development,12,3,1,2,Female,3,5,Research Director,3,19545,No,12,3,4,23,0,3,22,15,15,8
34,No,Sales,23,4,1,2,Male,3,2,Sales Executive,3,4568,No,20,4,3,10,2,3,9,5,8,7
37,No,Research & Development,19,2,1,2,Male,3,1,Research Scientist,2,3022,No,21,4,1,8,1,3,1,0,0,0
46,No,Sales,5,4,1,1,Male,3,2,Sales Executive,4,5772,Yes,21,4,3,14,4,3,9,6,0,8
35,No,Research & Development,8,1,1,4,Male,4,1,Laboratory Technician,4,2269,No,19,3,4,1,2,3,1,0,0,1
48,Yes,Research & Development,1,2,1,1,Male,2,3,Laboratory Technician,3,5381,Yes,13,3,4,23,2,3,1,0,0,0
28,Yes,Research & Development,5,4,1,3,Male,3,1,Laboratory Technician,3,3441,Yes,13,3,3,2,3,2,2,2,2,2
44,No,Sales,1,5,1,2,Female,3,2,Sales Executive,1,5454,Yes,21,4,3,9,2,2,4,3,1,3
35,No,Research & Development,11,2,1,3,Male,2,3,Healthcare Representative,1,9884,Yes,13,3,3,10,3,3,4,0,2,3
26,No,Sales,23,3,1,3,Female,2,2,Sales Executive,4,4157,Yes,19,3,3,5,2,2,2,2,0,0
33,No,Research & Development,1,2,1,1,Female,3,3,Research Director,4,13458,Yes,12,3,3,15,1,3,15,14,8,12
35,No,Sales,18,5,1,2,Male,3,3,Sales Executive,1,9069,No,22,4,4,9,3,2,9,8,1,8
35,No,Research & Development,23,4,1,3,Female,3,1,Laboratory Technician,1,4014,Yes,15,3,3,4,3,3,2,2,2,2
31,No,Research & Development,7,4,1,4,Male,3,2,Laboratory Technician,4,5915,No,22,4,4,10,3,2,7,7,1,7
37,No,Research & Development,1,4,1,1,Male,2,2,Manufacturing Director,3,5993,No,18,3,3,7,2,4,7,5,0,7
32,No,Research & Development,1,3,1,1,Male,3,2,Manufacturing Director,4,6162,Yes,22,4,2,9,3,3,9,8,7,8
38,No,Research & Development,29,5,1,4,Female,3,2,Laboratory Technician,4,2406,No,11,3,4,10,2,3,10,3,9,9
50,No,Research & Development,7,2,1,2,Female,2,5,Research Director,3,18740,Yes,12,3,4,29,2,2,27,3,13,8
59,No,Sales,25,3,1,1,Female,3,3,Sales Executive,1,7637,No,11,3,4,28,3,2,21,16,7,9
36,No,Research & Development,8,3,1,3,Female,3,3,Healthcare Representative,3,10096,No,13,3,2,17,2,3,17,14,12,8
55,No,Research & Development,8,3,1,4,Female,3,4,Manager,3,14756,Yes,14,3,3,21,2,3,5,0,0,2
36,No,Research & Development,11,3,1,2,Male,2,2,Manufacturing Director,2,6499,No,13,3,3,6,3,3,6,5,0,3
45,No,Research & Development,7,3,1,2,Male,3,3,Research Scientist,1,9724,No,17,3,3,25,2,3,1,0,0,0
35,No,Research & Development,1,3,1,2,Male,3,1,Research Scientist,1,2194,No,13,3,4,5,2,2,3,2,1,2
36,Yes,Research & Development,9,3,1,4,Male,2,1,Research Scientist,3,3388,Yes,17,3,1,2,0,2,1,0,0,0
59,No,Sales,1,1,1,1,Female,2,2,Sales Executive,3,5473,No,11,3,4,20,2,2,4,3,1,3
29,No,Research & Development,2,3,1,3,Male,3,1,Research Scientist,2,2703,No,23,4,4,6,3,3,5,4,0,4
31,No,Research & Development,1,4,1,3,Male,3,1,Research Scientist,2,2501,No,17,3,2,1,4,3,1,1,1,0
32,No,Research & Development,1,3,1,2,Male,3,2,Research Scientist,2,6220,No,17,3,2,10,3,3,10,4,0,9
36,No,Research & Development,6,3,1,2,Female,4,1,Laboratory Technician,4,3038,No,12,3,2,5,3,3,1,0,0,0
31,No,Research & Development,8,4,1,3,Female,3,2,Manufacturing Director,4,4424,No,23,4,4,11,2,3,11,7,1,8
35,No,Sales,1,4,1,3,Male,2,2,Sales Executive,1,4312,No,14,3,2,16,2,3,15,13,2,8
45,No,Research & Development,6,4,1,4,Male,3,3,Research Director,1,13245,Yes,14,3,2,17,3,4,0,0,0,0
37,No,Research & Development,7,4,1,1,Male,3,3,Research Director,3,13664,No,13,3,1,16,3,4,5,2,0,2
46,No,Human Resources,5,2,1,2,Male,3,2,Human Resources,2,5021,Yes,22,4,4,16,2,3,4,2,0,2
30,No,Research & Development,1,1,1,4,Male,2,2,Laboratory Technician,4,5126,Yes,12,3,3,10,1,2,10,8,3,0
35,No,Research & Development,1,3,1,2,Male,2,1,Research Scientist,3,2859,No,18,3,1,6,3,3,6,4,0,4
55,No,Sales,1,2,1,1,Male,3,3,Sales Executive,4,10239,No,14,3,4,24,4,3,1,0,1,0
38,No,Research & Development,6,3,1,2,Female,1,2,Research Scientist,4,5329,Yes,12,3,4,17,3,3,13,11,1,9
34,No,Research & Development,1,2,1,1,Male,3,2,Manufacturing Director,2,4325,No,15,3,3,5,2,3,5,2,1,3
56,No,Research & Development,7,3,1,4,Male,1,3,Manufacturing Director,4,7260,No,11,3,1,37,3,2,6,4,0,2
23,No,Sales,2,1,1,3,Male,3,1,Sales Representative,1,2322,No,13,3,3,3,3,3,0,0,0,0
51,No,Research & Development,9,4,1,4,Male,3,1,Laboratory Technician,4,2075,No,23,4,2,10,4,3,4,2,0,3
30,No,Research & Development,2,3,1,3,Male,2,2,Healthcare Representative,4,4152,No,19,3,1,11,3,3,11,10,10,8
46,Yes,Sales,9,2,1,3,Male,2,3,Sales Executive,4,9619,No,16,3,4,9,3,3,9,8,4,7
40,No,Research & Development,1,4,1,3,Male,2,4,Healthcare Representative,2,13503,No,22,4,4,22,3,2,22,3,11,11
51,No,Sales,21,4,1,3,Male,3,2,Sales Executive,4,5441,Yes,22,4,4,11,2,1,10,7,1,0
30,No,Sales,4,2,1,3,Female,2,2,Sales Executive,2,5209,Yes,12,3,2,11,4,2,11,8,2,7
46,No,Research & Development,1,3,1,3,Male,2,3,Healthcare Representative,1,10673,Yes,13,3,3,21,5,2,10,9,9,5
32,No,Sales,6,4,1,2,Male,3,2,Sales Executive,3,5010,No,16,3,1,12,0,3,11,8,5,7
54,No,Research & Development,2,4,1,1,Female,3,3,Research Director,3,13549,No,12,3,1,16,5,1,4,3,0,3
24,No,Sales,3,2,1,1,Female,3,2,Sales Executive,3,4999,No,21,4,1,4,2,2,3,2,0,2
28,No,Sales,4,3,1,2,Male,3,2,Sales Executive,3,4221,No,15,3,2,5,3,4,5,4,0,4
58,No,Sales,10,4,1,4,Male,3,4,Sales Executive,3,13872,No,13,3,3,38,1,2,37,10,1,8
44,No,Research & Development,23,3,1,2,Male,3,2,Laboratory Technician,2,2042,No,12,3,3,17,3,4,3,2,1,2
37,Yes,Human Resources,6,4,1,3,Male,3,1,Human Resources,1,2073,Yes,22,4,4,7,3,3,3,2,0,2
32,No,Research & Development,1,1,1,4,Male,3,1,Research Scientist,1,2956,No,13,3,4,1,2,3,1,0,0,0
20,Yes,Research & Development,6,3,1,4,Female,2,1,Laboratory Technician,4,2926,Yes,18,3,2,1,5,3,1,0,1,0
34,No,Research & Development,6,4,1,1,Female,3,2,Research Scientist,3,4809,No,14,3,3,16,3,3,16,13,2,10
37,No,Research & Development,2,2,1,3,Male,2,2,Healthcare Representative,4,5163,No,14,3,4,17,2,4,1,0,0,0
59,No,Human Resources,2,4,1,3,Female,2,5,Manager,4,18844,No,21,4,4,30,3,3,3,2,2,2
50,No,Research & Development,1,3,1,1,Female,3,5,Research Director,2,18172,Yes,19,3,1,28,1,2,8,3,0,7
25,Yes,Sales,5,3,1,3,Male,2,2,Sales Executive,3,5744,Yes,11,3,4,6,1,3,6,4,0,3
25,No,Research & Development,7,1,1,4,Male,2,1,Research Scientist,4,2889,No,11,3,3,2,2,3,2,2,2,1
22,No,Research & Development,15,3,1,2,Female,3,1,Laboratory Technician,4,2871,No,15,3,3,1,5,3,0,0,0,0
51,No,Research & Development,1,4,1,1,Female,2,3,Healthcare Representative,1,7484,No,20,4,3,23,1,2,13,12,12,8
34,Yes,Research & Development,7,3,1,1,Male,1,2,Laboratory Technician,3,6074,Yes,24,4,4,9,3,3,9,7,0,6
54,No,Human Resources,26,3,1,4,Female,4,4,Manager,4,17328,Yes,12,3,3,23,3,3,5,3,4,4
24,No,Research & Development,18,1,1,2,Male,3,1,Laboratory Technician,3,2774,No,12,3,3,6,2,3,5,3,1,2
34,No,Research & Development,6,4,1,3,Female,2,2,Research Scientist,2,4505,No,15,3,3,12,3,3,1,0,0,0
37,No,Sales,3,3,1,3,Male,3,3,Sales Executive,4,7428,No,12,3,1,12,3,3,5,3,1,3
34,No,Research & Development,5,3,1,3,Female,2,3,Manager,1,11631,No,12,3,4,14,6,3,11,10,5,8
36,No,Sales,11,2,1,2,Female,3,3,Sales Executive,4,9738,No,14,3,3,10,6,3,9,7,2,8
36,No,Research & Development,3,2,1,1,Female,3,1,Laboratory Technician,4,2835,No,22,4,1,7,2,3,1,0,0,0
43,No,Sales,26,2,1,3,Male,3,4,Manager,4,16959,Yes,12,3,4,25,3,4,25,12,4,12
30,No,Research & Development,23,3,1,1,Male,1,1,Research Scientist,3,2613,No,25,4,3,10,2,2,10,7,0,9
33,No,Sales,22,2,1,3,Male,3,2,Sales Executive,2,6146,No,13,3,1,8,2,4,7,7,0,7
56,Yes,Research & Development,14,4,1,2,Female,3,1,Research Scientist,2,4963,Yes,18,3,1,7,2,3,5,4,4,3
51,No,Research & Development,6,3,1,1,Male,3,5,Research Director,3,19537,No,13,3,3,23,5,3,20,18,15,15
31,Yes,Sales,6,4,1,2,Male,1,2,Sales Executive,3,6172,Yes,18,3,2,12,3,2,7,7,7,7
26,No,Research & Development,6,3,1,3,Female,2,1,Research Scientist,2,2368,No,19,3,3,5,3,2,5,4,4,3
58,Yes,Research & Development,23,4,1,4,Female,3,3,Healthcare Representative,4,10312,No,12,3,4,40,3,2,40,10,15,6
19,Yes,Sales,22,1,1,4,Male,3,1,Sales Representative,3,1675,Yes,19,3,4,0,2,2,0,0,0,0
22,No,Research & Development,2,1,1,3,Male,3,1,Laboratory Technician,4,2523,No,14,3,3,3,2,3,2,1,2,1
49,No,Research & Development,20,4,1,3,Female,3,2,Manufacturing Director,1,6567,No,14,3,3,16,2,2,15,11,5,11
43,No,Research & Development,28,3,1,2,Female,4,1,Research Scientist,3,4739,No,12,3,4,18,2,3,3,2,1,2
50,No,Sales,12,3,1,3,Female,3,3,Sales Executive,4,9208,No,11,3,4,16,3,3,2,2,2,1
31,Yes,Sales,20,3,1,2,Female,1,2,Sales Executive,3,4559,Yes,11,3,3,4,2,3,2,2,2,2
41,No,Sales,9,1,1,3,Male,3,3,Sales Executive,3,8189,Yes,13,3,3,12,2,3,9,7,0,7
26,No,Human Resources,25,1,1,3,Female,3,1,Human Resources,3,2942,No,23,4,4,8,3,3,8,7,5,7
36,No,Research & Development,6,2,1,2,Male,3,2,Manufacturing Director,2,4941,No,20,4,4,7,0,3,3,2,0,1
51,Yes,Research & Development,8,4,1,1,Male,1,3,Manufacturing Director,4,10650,No,15,3,4,18,2,3,4,2,0,3
39,No,Sales,4,4,1,4,Female,2,2,Sales Executive,3,5902,No,14,3,3,17,1,4,15,11,5,9
25,No,Sales,28,3,1,1,Male,2,2,Sales Executive,3,8639,No,18,3,4,6,3,3,2,2,2,2
30,No,Human Resources,9,3,1,3,Male,3,2,Human Resources,4,6347,Yes,19,3,4,12,2,1,11,9,4,7
32,Yes,Research & Development,9,3,1,1,Female,3,1,Laboratory Technician,1,4200,No,22,4,1,10,2,4,5,4,0,4
45,No,Research & Development,29,3,1,3,Male,3,1,Research Scientist,4,3452,No,13,3,2,9,2,2,6,5,0,3
38,No,Research & Development,3,5,1,4,Female,3,2,Research Scientist,3,4317,Yes,20,4,2,19,2,3,3,2,2,2
30,No,Research & Development,18,3,1,1,Female,3,1,Research Scientist,3,2632,No,14,3,3,5,4,2,5,4,0,4
32,No,Sales,9,2,1,4,Male,1,2,Sales Executive,4,4668,No,17,3,4,9,2,4,8,7,0,7
30,No,Research & Development,5,3,1,4,Female,3,1,Research Scientist,1,3204,No,14,3,4,8,3,3,3,2,2,2
30,No,Research & Development,2,1,1,2,Male,2,1,Laboratory Technician,4,2720,No,13,3,4,6,3,3,5,3,1,2
41,No,Research & Development,10,3,1,4,Male,2,4,Manager,1,17181,No,13,3,2,21,2,2,7,6,7,7
41,No,Research & Development,9,4,1,3,Male,3,1,Laboratory Technician,1,2238,No,21,4,4,7,2,3,5,0,1,4
19,No,Research & Development,3,1,1,2,Female,3,1,Laboratory Technician,2,1483,No,14,3,4,1,3,3,1,0,0,0
40,No,Research & Development,26,3,1,2,Female,3,2,Research Scientist,2,5605,No,11,3,1,20,2,3,20,7,2,13
35,No,Sales,1,5,1,3,Male,3,3,Sales Executive,2,7295,No,13,3,1,10,3,3,10,8,0,6
53,No,Sales,6,2,1,2,Male,3,2,Sales Representative,3,2306,Yes,20,4,4,13,3,1,7,7,4,5
45,No,Research & Development,9,3,1,2,Male,3,2,Laboratory Technician,2,2348,No,18,3,3,20,2,1,17,9,0,15
32,No,Sales,8,3,1,2,Female,3,3,Sales Executive,4,8998,No,14,3,4,9,2,3,9,8,3,7
29,No,Research & Development,1,1,1,4,Male,3,2,Manufacturing Director,3,4319,No,13,3,1,10,1,3,10,7,0,9
51,No,Research & Development,7,4,1,2,Male,2,2,Manufacturing Director,3,6132,No,17,3,3,10,2,3,1,0,0,0
58,No,Research & Development,9,3,1,2,Female,2,1,Research Scientist,2,3346,Yes,20,4,2,9,3,2,1,0,0,0
40,No,Sales,4,4,1,3,Male,2,3,Sales Executive,4,10855,No,11,3,1,15,2,2,12,11,2,11
34,No,Sales,2,4,1,3,Female,3,1,Sales Representative,3,2231,No,18,3,4,6,3,3,4,3,1,2
22,No,Research & Development,19,1,1,3,Male,3,1,Research Scientist,4,2323,No,24,4,1,2,6,3,2,2,2,2
27,No,Research & Development,9,3,1,4,Male,3,1,Research Scientist,2,2024,No,18,3,4,6,1,1,2,2,2,2
28,No,Research & Development,21,3,1,3,Male,3,1,Research Scientist,4,2713,No,11,3,3,5,2,1,5,2,0,2
57,No,Research & Development,24,2,1,3,Male,4,3,Healthcare Representative,4,9439,Yes,16,3,2,12,2,1,5,3,1,4
27,No,Research & Development,3,3,1,3,Male,2,1,Research Scientist,3,2566,Yes,15,3,4,1,2,2,1,1,0,1
50,No,Research & Development,11,3,1,3,Female,3,5,Manager,2,19926,No,15,3,2,21,5,3,5,4,4,4
41,No,Research & Development,14,3,1,1,Male,3,1,Research Scientist,3,2451,No,12,3,1,13,2,3,9,8,1,8
30,No,Sales,5,3,1,2,Female,3,3,Sales Executive,4,9419,No,12,3,3,12,2,3,10,9,7,4
38,No,Sales,1,4,1,1,Female,2,2,Sales Executive,4,8686,No,22,4,3,12,2,4,8,3,0,7
32,No,Research & Development,6,5,1,3,Male,3,1,Research Scientist,3,3038,No,20,4,1,8,2,3,5,4,1,4
27,No,Research & Development,17,3,1,3,Male,3,1,Research Scientist,2,3058,Yes,16,3,4,6,3,2,5,2,1,1
19,Yes,Sales,1,1,1,3,Female,1,1,Sales Representative,1,2325,No,21,4,1,1,5,4,0,0,0,0
36,No,Research & Development,3,2,1,4,Male,3,1,Laboratory Technician,2,2088,No,12,3,3,13,3,2,8,7,7,2
30,No,Research & Development,9,3,1,3,Male,3,2,Laboratory Technician,1,3072,No,11,3,3,12,4,3,12,9,6,10
45,No,Sales,4,2,1,3,Female,3,2,Sales Executive,1,5006,Yes,11,3,1,9,3,4,5,4,0,3
56,No,Research & Development,8,3,1,3,Female,3,1,Research Scientist,1,4257,Yes,18,3,3,19,3,3,2,2,2,2
33,No,Research & Development,2,3,1,3,Male,3,1,Research Scientist,4,2500,No,14,3,1,4,2,4,3,1,0,2
19,Yes,Research & Development,2,3,1,2,Male,2,1,Laboratory Technician,4,1102,No,22,4,3,1,3,2,1,0,1,0
46,No,Sales,1,2,1,2,Female,3,3,Sales Executive,1,10453,No,25,4,3,24,2,3,24,13,15,7
38,No,Research & Development,9,2,1,3,Female,3,1,Laboratory Technician,4,2288,No,12,3,3,2,3,3,2,2,2,1
31,No,Research & Development,12,1,1,3,Female,3,1,Research Scientist,4,3929,Yes,23,4,3,7,0,3,4,2,0,2
34,No,Research & Development,27,2,1,4,Female,3,1,Research Scientist,2,2311,No,15,3,4,9,3,3,3,2,1,2
41,Yes,Sales,20,2,1,2,Female,3,1,Sales Representative,2,3140,Yes,22,4,4,4,5,2,4,3,0,2
50,No,Research & Development,1,3,1,3,Male,2,1,Laboratory Technician,3,3690,No,15,3,4,5,2,2,3,2,0,2
53,No,Research & Development,13,2,1,4,Female,4,2,Manufacturing Director,1,4450,No,11,3,3,5,3,3,4,2,1,3
33,No,Research & Development,14,3,1,4,Female,3,1,Research Scientist,2,2756,No,13,3,4,8,5,3,8,7,1,6
40,No,Research & Development,4,1,1,4,Female,3,5,Manager,3,19033,No,14,3,2,21,2,3,20,8,9,9
55,No,Research & Development,14,4,1,3,Male,4,5,Research Director,2,18722,No,11,3,4,36,3,3,24,15,2,15
34,No,Research & Development,2,1,1,4,Male,2,2,Manufacturing Director,3,9547,No,17,3,3,10,2,2,10,9,1,9
51,No,Research & Development,3,3,1,4,Female,3,4,Healthcare Representative,2,13734,No,18,3,3,21,6,3,7,7,1,0
52,No,Research & Development,1,4,1,3,Male,2,5,Manager,3,19999,No,14,3,1,34,5,3,33,18,11,9
27,No,Research & Development,9,3,1,4,Female,3,1,Research Scientist,2,2279,No,16,3,4,7,2,2,7,7,0,3
35,Yes,Research & Development,23,2,1,2,Male,2,2,Manufacturing Director,3,5916,Yes,13,3,1,8,1,3,1,0,0,1
43,No,Research & Development,7,3,1,4,Male,4,1,Research Scientist,4,2089,No,14,3,4,7,3,4,5,4,2,2
45,No,Research & Development,2,2,1,1,Male,2,4,Manager,4,16792,No,23,4,4,22,1,3,20,8,11,8
37,No,Research & Development,21,3,1,2,Male,4,1,Research Scientist,1,3564,Yes,12,3,1,8,3,2,8,7,1,7
35,No,Research & Development,2,3,1,2,Female,3,2,Laboratory Technician,2,4425,No,11,3,4,10,5,3,6,2,1,2
42,No,Research & Development,21,2,1,3,Female,3,2,Manufacturing Director,3,5265,No,16,3,2,11,5,3,5,3,0,2
38,No,Research & Development,2,4,1,4,Male,3,2,Manufacturing Director,3,6553,No,14,3,2,14,3,3,1,0,0,0
38,No,Research & Development,29,3,1,4,Male,3,2,Manufacturing Director,4,6261,No,18,3,1,9,3,1,7,7,1,7
27,No,Research & Development,1,1,1,3,Male,2,2,Manufacturing Director,1,4298,No,19,3,3,6,1,3,2,2,2,0
49,No,Research & Development,18,4,1,4,Male,3,2,Manufacturing Director,4,6804,Yes,15,3,1,7,0,3,7,7,1,7
34,No,Research & Development,10,4,1,4,Male,3,1,Research Scientist,3,3815,Yes,17,3,4,5,4,4,5,3,2,0
40,No,Research & Development,19,2,1,3,Male,3,2,Laboratory Technician,4,2741,Yes,15,3,3,15,2,4,7,2,3,7
38,Yes,Research & Development,29,1,1,2,Male,3,2,Healthcare Representative,1,6673,Yes,19,3,2,17,2,3,1,0,0,0
29,Yes,Sales,27,3,1,2,Female,3,3,Sales Executive,4,7639,No,22,4,4,10,3,2,10,4,1,9
22,No,Research & Development,5,3,1,4,Male,4,1,Research Scientist,2,2328,Yes,16,3,1,4,2,2,4,2,2,2
36,No,Research & Development,18,1,1,2,Female,3,1,Laboratory Technician,4,2153,No,13,3,1,8,2,3,8,1,1,7
40,No,Research & Development,9,5,1,4,Male,2,2,Healthcare Representative,4,4876,No,14,3,4,5,5,1,3,2,0,2
46,No,Research & Development,1,4,1,4,Male,3,3,Healthcare Representative,1,9396,No,16,3,3,17,3,3,4,2,0,3
32,Yes,Sales,4,4,1,4,Male,1,3,Sales Executive,4,10400,No,11,3,3,14,2,2,14,8,9,8
30,No,Research & Development,1,1,1,3,Male,2,3,Manufacturing Director,3,8474,No,22,4,3,12,2,3,11,8,5,8
27,No,Sales,20,3,1,4,Female,3,2,Sales Executive,3,9981,No,14,3,4,7,2,3,7,7,0,7
51,No,Research & Development,8,4,1,2,Male,2,3,Research Director,2,12490,No,16,3,4,16,5,1,10,9,4,7
30,Yes,Research & Development,3,3,1,4,Female,3,1,Research Scientist,1,2657,Yes,11,3,3,8,5,3,5,2,0,4
41,No,Sales,6,3,1,4,Female,3,3,Manager,4,13591,Yes,18,3,3,16,3,3,1,0,0,0
30,Yes,Sales,26,4,1,3,Female,2,2,Sales Executive,1,6696,No,15,3,3,9,5,2,6,3,0,1
29,Yes,Research & Development,1,3,1,3,Male,3,1,Research Scientist,3,2058,No,14,3,4,7,1,2,6,2,1,5
45,No,Sales,6,3,1,4,Female,2,3,Sales Executive,4,8865,No,12,3,4,23,2,3,19,7,12,8
54,No,Sales,3,3,1,4,Female,3,2,Sales Executive,1,5940,No,14,3,4,16,4,3,6,2,0,5
36,No,Research & Development,5,2,1,4,Male,3,2,Laboratory Technician,2,5914,No,16,3,4,16,3,4,13,11,3,7
33,No,Research & Development,4,4,1,3,Female,2,1,Research Scientist,2,2622,No,21,4,4,7,3,3,3,2,1,1
37,No,Research & Development,11,3,1,2,Male,3,3,Research Director,4,12185,Yes,14,3,3,10,1,3,10,8,0,7
38,No,Sales,3,3,1,1,Male,3,3,Sales Executive,3,10609,No,12,3,3,17,6,2,16,10,5,13
31,No,Research & Development,1,4,1,3,Male,1,2,Manufacturing Director,3,4345,No,12,3,4,6,2,3,5,4,1,4
59,No,Research & Development,3,3,1,3,Male,2,1,Research Scientist,4,2177,No,17,3,1,7,6,3,1,0,0,0
37,No,Sales,4,4,1,1,Male,3,1,Sales Representative,4,2793,No,17,3,3,13,2,3,9,8,5,8
